Lable100,Area100,X100,Y100,Circularity100,EquivDiameter100,Orientation100,Lable110,Area110,X110,Y110,Circularity110,EquivDiameter110,Orientation110
1,43,3.3256,7.3488,1.1466,7.3993,79.435,1,40,3.1,7.375,1.1978,7.1365,84.542
2,43,3.0233,30.07,1.1276,7.3993,-87.307,2,42,2.9762,30,1.1302,7.3127,90
3,41,3.1707,52.415,1.2169,7.2252,87.7,3,40,3.05,52.5,1.2086,7.1365,90
4,40,3.05,73.5,1.2086,7.1365,90,4,40,2.825,74,1.0947,7.1365,-90
5,29,2.6552,95,1.2854,6.0765,-90,5,29,2.6552,95,1.2854,6.0765,-90
6,43,3.6279,107,1.254,7.3993,-90,6,43,3.6279,107,1.254,7.3993,-90
7,35,2.8,127.77,1.1968,6.6756,-83.245,7,34,2.7059,128.5,1.2091,6.5795,90
8,40,2.975,172,1.1136,7.1365,-90,8,36,2.8056,171.33,1.208,6.7703,84.548
9,40,3.1,194.38,1.1978,7.1365,84.542,9,41,2.9756,192.9,1.1221,7.2252,89.947
10,46,2.913,218.22,1.0239,7.653,86.343,10,41,2.8293,216.83,1.1343,7.2252,86.159
11,44,3.1136,235.3,1.1443,7.4848,-83.013,11,36,2.8889,236.22,1.1493,6.7703,81.918
12,46,3.1957,257,1.1568,7.653,90,12,44,3.0455,257.84,1.1443,7.4848,86.062
13,44,2.7955,296.7,1.0453,7.4848,-88.38,13,43,2.7674,297.4,1.064,7.3993,89.71
14,48,3.0833,322.33,1.0767,7.8176,87.998,14,46,3.1087,323,1.1568,7.653,90
15,48,2.75,362.06,1.0052,7.8176,-88.806,15,46,2.8478,363.67,1.0673,7.653,-87.12
16,50,3.14,376.38,1.0961,7.9788,86.106,16,44,2.8409,376.59,1.0267,7.4848,89.749
17,39,2.7436,401,1.1374,7.0467,90,17,40,2.825,402.27,1.1258,7.1365,-85.429
18,47,2.9787,426.53,1.0797,7.7358,-88.707,18,45,2.9111,427.4,1.0667,7.5694,89.878
19,34,2.7059,439.5,1.2091,6.5795,90,19,34,2.7059,440.5,1.2091,6.5795,90
20,35,2.7714,460.43,1.1856,6.6756,86.487,20,34,2.7059,460.5,1.2091,6.5795,90
21,40,3.1,473.38,1.1978,7.1365,84.542,21,40,3.1,473.38,1.1978,7.1365,84.542
22,34,2.7059,484.5,1.2091,6.5795,90,22,34,2.7059,484.5,1.2091,6.5795,90
23,30,2.7667,497.4,1.1947,6.1804,-71.671,23,28,3.0357,497.96,1.2006,5.9708,-45
24,53,6.7547,347.3,1.2438,8.2147,70.226,24,52,6.6154,348.6,1.2838,8.1369,-80.085
25,66,8.6364,18.5,1.2425,9.167,2.66E-15,25,66,8.6364,18.5,1.2425,9.167,2.66E-15
26,61,8.1967,84.705,1.2436,8.8129,-54.919,27,60,8.4,85.067,1.2331,8.7404,-77.453
27,45,7.0667,138.44,1.3092,7.5694,77.793,28,39,6.8718,139.13,1.37,7.0467,45
28,52,7.5,149.5,1.3164,8.1369,0,29,46,7.2826,149.78,1.2667,7.653,-29.028
29,44,7.2045,160.89,1.2914,7.4848,-30.257,30,39,7,160.41,1.3176,7.0467,0
30,63,8.1111,182.79,1.2476,8.9562,-77.08,31,60,8.4,181.93,1.2331,8.7404,77.453
31,58,7.8793,205.36,1.2097,8.5935,71.307,32,59,7.7627,204.1,1.2036,8.6672,58.33
32,59,7.4237,269.19,1.2516,8.6672,65.415,33,58,7.2069,270,1.2593,8.5935,68.414
33,75,7.9867,283.81,1.1857,9.7721,-71.386,34,72,8.0139,284.42,1.2111,9.5746,-61.3
34,70,8.2571,309.81,1.1933,9.4407,11.117,35,70,8.2143,310.17,1.2013,9.4407,-69.744
35,76,9.0658,334.46,1.1637,9.837,1.7874,36,77,8.6494,335.43,1.2174,9.9015,41.423
36,54,7.6111,389.61,1.3015,8.2919,-45,37,67,7.8507,390.42,1.2235,9.2362,-56.454
37,62,7.5968,413.11,1.2674,8.8849,-74.747,38,60,7.9333,414.4,1.2331,8.7404,12.547
38,67,8.7761,41.776,1.2343,9.2362,-45,26,64,8.5,41.5,1.2395,9.027,0
39,62,9,62.806,1.2482,8.8849,0,39,62,8.8871,63.403,1.2674,8.8849,-15.253
40,65,9.0923,118.03,1.25,9.0973,-26.69,40,62,8.8871,118.4,1.2674,8.8849,-15.253
41,77,9.7922,246.08,1.1934,9.9015,-11.359,41,67,9.0896,246.09,1.2525,9.2362,45
42,72,9.1389,450.29,1.2356,9.5746,-65.868,42,71,9.6338,450.69,1.1921,9.5079,10.427
43,55,10.745,227.15,1.1643,8.3683,-60.255,43,67,10,227.12,1.2613,9.2362,0
44,46,11.261,489.52,1.2776,7.653,35.915,44,58,11.207,491.38,1.2187,8.5935,-84.073
45,61,13.197,97.295,1.2436,8.8129,54.919,45,59,13.322,97.407,1.224,8.6672,32.893
46,61,12.967,436.79,1.2346,8.8129,-36.393,47,63,13.063,436.7,1.2476,8.9562,-27.11
47,61,12.672,466.26,1.2167,8.8129,-56.212,48,62,12.871,466.32,1.2457,8.8849,-41.061
48,58,13.448,358,1.2785,8.5935,-90,46,61,13.066,359.48,1.1374,8.8129,70.346
49,80,16.512,369.9,1.0052,10.093,-4.1305,70,62,19.806,369.4,1.2278,8.8849,-7.0155
50,61,14.197,401.77,1.2528,8.8129,-50.678,58,65,14.8,403.11,1.2597,9.0973,-55.31
51,66,15.697,30.212,1.1886,9.167,-2.4564,51,64,15.641,30,1.2118,9.027,0
52,64,15.531,169.75,1.1687,9.027,26.634,53,54,14.278,169.28,1.2301,8.2919,45
53,57,15.175,215.56,1.2661,8.5191,10.371,54,63,15,215,1.2378,8.9562,26.565
54,66,14.848,297.92,1.2244,9.167,-30.636,56,61,14.574,298.18,1.2655,8.8129,-67.7
55,71,15.775,321.87,1.2022,9.5079,-34.671,57,72,15.5,322.33,1.2251,9.5746,0
56,46,14.37,380.89,1.3266,7.653,-17.262,49,61,14.033,379.13,1.2256,8.8129,-49.055
57,64,15.281,424.5,1.222,9.027,0,59,48,14.25,425,1.3137,7.8176,0
58,76,16.368,478.8,1.163,9.837,-13.733,60,72,16.194,479.35,1.203,9.5746,-8.1213
59,25,13.88,498.64,1.2435,5.6419,-2.0013,44,58,11.207,491.38,1.2187,8.5935,-84.073
60,68,16.5,7.5,1.2448,9.3049,0,50,65,15.923,7.3077,1.2066,9.0973,-0.87447
61,66,15.848,73.636,1.2314,9.167,63.538,62,62,15.823,74.306,1.2189,8.8849,-18.074
62,59,15.441,129.95,1.2516,8.6672,-62.085,52,57,14.842,130.63,1.2767,8.5191,-19.829
63,69,16.217,193.41,1.2084,9.373,18.404,63,71,16.535,192.21,1.2267,9.5079,13.529
64,64,17,53.5,1.2517,9.027,-23.968,61,64,16.125,52.734,1.2583,9.027,-28.292
65,82,16.817,258.45,1.1542,10.218,74.124,55,73,15.685,259.68,1.193,9.6409,-66.8
66,65,17.908,108.91,1.25,9.0973,1.3213,64,62,17.742,109.37,1.2189,8.8849,-10.805
67,60,17.933,274.75,1.2514,8.7404,82.138,65,56,17.786,275.39,1.2345,8.444,-82.235
68,63,19.095,143.1,1.2289,8.9562,-45,66,58,18.897,143.59,1.2689,8.5935,-13.024
69,59,18.593,155.68,1.224,8.6672,57.107,67,57,18.474,156.07,1.2759,8.5191,74.427
70,64,19.031,236.17,1.2307,9.027,19.47,68,69,19.58,236.36,1.228,9.373,10.01
71,63,19.206,345.9,1.2566,8.9562,-62.104,69,62,18.597,346.11,1.2674,8.8849,-74.747
72,64,21.125,86.734,1.2583,9.027,-28.292,76,64,21.828,86.828,1.2583,9.027,45
73,46,20.109,180.37,1.3266,7.653,72.738,71,56,20.821,179.09,1.2439,8.444,70.968
74,41,20,204.76,1.3594,7.2252,0,72,42,19.929,203.81,1.3286,7.3127,32.178
75,55,20.927,287.35,1.2502,8.3683,-8.0538,78,57,21.439,287.67,1.2591,8.5191,-34.23
76,59,21.271,391.8,1.2029,8.6672,-23.377,73,64,21.266,391.88,1.2583,9.027,-61.708
77,64,21.047,413.95,1.2492,9.027,-45,80,59,21.458,415.17,1.2423,8.6672,-71.826
78,50,20.26,457.52,1.2648,7.9788,-51.771,74,52,20.5,457.5,1.3164,8.1369,0
79,60,22.25,41.6,1.2633,8.7404,-22.94,75,60,22.25,41.6,1.2633,8.7404,-22.94
80,69,22.551,309.04,1.2084,9.373,42.047,79,67,22,310.12,1.2613,9.2362,0
81,67,23.537,19.269,1.2235,9.2362,-6.1552,81,67,23,18.881,1.2613,9.2362,0
82,59,22.458,445.56,1.2448,8.6672,-35.538,85,60,22.5,445,1.2832,8.7404,90
83,60,23.5,121,1.2257,8.7404,-56.125,83,62,23.032,121.82,1.2457,8.8849,-34.43
84,57,24.421,223.51,1.2376,8.5191,37.605,87,63,24.143,223.68,1.2202,8.9562,39.343
85,70,23.929,333.84,1.2458,9.4407,-38.955,84,69,23.435,333.65,1.2342,9.373,-4.434
